DateTime	ResolutionCode	AreaCode	AreaTypeCode	AreaName	MapCode	ProductionType	ActualGenerationOutput	ActualConsumption	UpdateTime
2022-01-01 01:00:00.000	PT60M	10YPL-AREA-----S	CTY	PL CTY	PL	Wind Onshore	4071.18		2022-01-01 03:47:23
2022-01-01 01:00:00.000	PT60M	10YPL-AREA-----S	BZN	PL BZN	PL	Wind Onshore	4071.18		2022-01-01 03:47:23
2022-01-01 01:00:00.000	PT60M	10YPL-AREA-----S	BZN	PL BZN	PL	Solar	0.0		2022-01-01 03:47:25
2022-01-01 01:00:00.000	PT60M	10YPL-AREA-----S	CTY	PL CTY	PL	Solar	0.0		2022-01-01 03:47:27
2022-01-01 01:00:00.000	PT60M	10YPL-AREA-----S	CTY	PL CTY	PL	Hydro Water Reservoir	0.0		2022-01-01 03:47:28
2022-01-01 01:00:00.000	PT60M	10YPL-AREA-----S	CTY	PL CTY	PL	Fossil Coal-derived gas	63.68		2022-01-01 03:47:29
2022-01-01 01:00:00.000	PT60M	10YPL-AREA-----S	BZN	PL BZN	PL	Fossil Coal-derived gas	63.68		2022-01-01 03:47:29
2022-01-01 01:00:00.000	PT60M	10YPL-AREA-----S	BZN	PL BZN	PL	Hydro Water Reservoir	0.0		2022-01-01 03:47:29
2022-01-01 01:00:00.000	PT60M	10YPL-AREA-----S	BZN	PL BZN	PL	Biomass	221.36		2022-01-01 03:47:29
2022-01-01 01:00:00.000	PT60M	10YPL-AREA-----S	CTY	PL CTY	PL	Fossil Gas	1003.19		2022-01-01 03:47:29
2022-01-01 01:00:00.000	PT60M	10YPL-AREA-----S	CTY	PL CTY	PL	Biomass	221.36		2022-01-01 03:47:29
2022-01-01 01:00:00.000	PT60M	10YPL-AREA-----S	CTY	PL CTY	PL	Hydro Run-of-river and poundage	199.35		2022-01-01 08:36:12
2022-01-01 01:00:00.000	PT60M	10YPL-AREA-----S	CTY	PL CTY	PL	Fossil Oil	277.15		2022-01-01 03:47:29
2022-01-01 01:00:00.000	PT60M	10YPL-AREA-----S	CTY	PL CTY	PL	Fossil Hard coal	5682.59		2022-01-01 06:37:06
2022-01-01 01:00:00.000	PT60M	10YPL-AREA-----S	BZN	PL BZN	PL	Fossil Brown coal/Lignite	2466.18		2022-01-01 03:47:30
2022-01-01 01:00:00.000	PT60M	10YPL-AREA-----S	BZN	PL BZN	PL	Hydro Pumped Storage	0.0		2022-01-01 03:47:30
2022-01-01 01:00:00.000	PT60M	10YPL-AREA-----S	CTY	PL CTY	PL	Hydro Pumped Storage	0.0		2022-01-01 03:47:30
2022-01-01 01:00:00.000	PT60M	10YPL-AREA-----S	BZN	PL BZN	PL	Fossil Gas	1003.19		2022-01-01 03:47:30
2022-01-01 01:00:00.000	PT60M	10YPL-AREA-----S	CTY	PL CTY	PL	Fossil Brown coal/Lignite	2466.18		2022-01-01 03:47:30
2022-01-01 01:00:00.000	PT60M	10YPL-AREA-----S	BZN	PL BZN	PL	Fossil Oil	277.15		2022-01-01 03:47:31
2022-01-01 01:00:00.000	PT60M	10YPL-AREA-----S	BZN	PL BZN	PL	Hydro Run-of-river and poundage	199.35		2022-01-01 08:36:12
2022-01-01 01:00:00.000	PT60M	10YPL-AREA-----S	BZN	PL BZN	PL	Fossil Hard coal	5682.59		2022-01-01 06:37:06
2022-01-01 01:45:00.000	PT15M	10YNL----------L	CTA	NL CTA	NL	Other	1315.51	1196.95	2022-01-29 03:48:39
2022-01-01 01:00:00.000	PT60M	10YFR-RTE------C	CTA	FR CTA	FR	Hydro Water Reservoir	1350.0		2022-01-01 03:47:40
2022-01-01 01:00:00.000	PT60M	10YFR-RTE------C	CTA	FR CTA	FR	Hydro Pumped Storage		183.0	2022-01-01 03:47:41
2022-01-01 01:00:00.000	PT60M	10YFR-RTE------C	CTA	FR CTA	FR	Waste	270.0		2022-01-01 03:47:41
2022-01-01 01:00:00.000	PT60M	10YFR-RTE------C	CTA	FR CTA	FR	Fossil Hard coal	29.0		2022-01-01 03:47:41
2022-01-01 01:00:00.000	PT60M	10YFR-RTE------C	CTA	FR CTA	FR	Biomass	374.0		2022-01-01 03:47:41
2022-01-01 01:45:00.000	PT15M	10YNL----------L	CTY	NL CTY	NL	Other	1315.51	1196.95	2022-01-29 03:48:56
2022-01-01 01:00:00.000	PT60M	10YFR-RTE------C	CTA	FR CTA	FR	Wind Onshore	3050.0		2022-01-01 03:47:42
2022-01-01 01:00:00.000	PT60M	10YFR-RTE------C	CTA	FR CTA	FR	Nuclear	37836.0		2022-01-01 03:47:42
2022-01-01 01:45:00.000	PT15M	10YNL----------L	BZN	NL BZN	NL	Other	1315.51	1196.95	2022-01-29 03:48:55
